title,authors,categories,published_year,average_rating,num_pages,ratings_count
Christmas Stories,Laura Ingalls Wilder,Juvenile Fiction,1998.0,4.22,80.0,63.0
Winter Days in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,1995.0,4.28,32.0,1487.0
Christmas in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,1997.0,4.19,32.0,2062.0
A Little House Birthday,Laura Ingalls Wilder,Juvenile Fiction,1998.0,4.13,40.0,444.0
The Deer in the Wood,Laura Ingalls Wilder,Juvenile Fiction,1999.0,4.17,32.0,302.0
A Little Prairie House,Laura Ingalls Wilder,Juvenile Fiction,1999.0,4.19,32.0,1533.0
Grizzwold,Syd Hoff,Juvenile Fiction,1984.0,3.8,64.0,206.0
Chester,Syd Hoff,Juvenile Fiction,1986.0,3.75,64.0,187.0
Captain Cat,Syd Hoff,Juvenile Fiction,1994.0,3.66,48.0,107.0
Shade's Children (rack),Garth Nix,Juvenile Fiction,1998.0,3.9,345.0,10368.0
All-American Girl,Meg Cabot,Juvenile Fiction,2003.0,3.74,398.0,58422.0
The Chronicles of Narnia (adult),C. S. Lewis,Fiction,2001.0,4.26,767.0,425445.0
Virgin,James Patterson,Fiction,1980.0,3.86,210.0,300.0
A Time to Kill,John Grisham,Fiction,1992.0,4.06,515.0,700.0
Timequake,Kurt Vonnegut,Fiction,1998.0,3.72,219.0,23529.0
Blood and Gold,Anne Rice,Fiction,2002.0,3.89,752.0,27476.0
The First Forty-nine Stories,Ernest Hemingway,Fiction,1993.0,3.99,467.0,824.0
The Trial,Franz Kafka,Fiction,2001.0,3.98,255.0,158037.0
Earthly Powers,Anthony Burgess,Fiction,2004.0,4.15,649.0,2022.0
The Convenient Marriage,Georgette Heyer,Fiction,2005.0,3.68,272.0,8899.0
Lady of Quality,Georgette Heyer,Fiction,2005.0,3.87,267.0,5706.0
Catch-22,Joseph Heller,Fiction,1994.0,3.98,519.0,5307.0
The Heart of the Matter,Graham Greene,Fiction,2004.0,3.99,272.0,21116.0
Watermelon,Marian Keyes,Fiction,2005.0,3.78,520.0,63160.0
Total Recall,Piers Anthony,Fiction,1990.0,3.93,224.0,7932.0
Kiss Kiss,Roald Dahl,Fiction,1962.0,4.11,231.0,5652.0
The Nice and the Good,Iris Murdoch,Fiction,1978.0,3.84,362.0,1472.0
Switch Bitch,Roald Dahl,Fiction,1976.0,4.0,140.0,6575.0
My Uncle Oswald,Roald Dahl,Fiction,1980.0,3.9,208.0,7833.0
Water Music,T. Coraghessan Boyle,Fiction,1981.0,4.17,437.0,3128.0
Moon Palace,Paul Auster,Fiction,1989.0,3.98,320.0,14594.0
Americana,Don DeLillo,Fiction,1989.0,3.43,377.0,367.0
East is East,T. Coraghessan Boyle,Fiction,1991.0,3.64,384.0,2047.0
Mao II,Don DeLillo,Fiction,1992.0,3.68,254.0,8085.0
The Music of Chance,Paul Auster,Fiction,1991.0,3.9,217.0,354.0
Libra,Don DeLillo,Fiction,1991.0,3.99,480.0,11361.0
Of Mice and Men,John Steinbeck,Fiction,1993.0,3.86,107.0,15908.0
Leviathan,Paul Auster,Fiction,1993.0,3.95,275.0,11238.0
The Third Man and the Fallen Idol,Graham Greene,Fiction,1977.0,3.76,157.0,1243.0
Collected Short Stories,Graham Greene,Fiction,1986.0,3.97,368.0,287.0
The Crucible,Arthur Miller,Drama,1995.0,3.57,176.0,1297.0
Harvesting the Heart,Jodi Picoult,Fiction,1995.0,3.6,453.0,38397.0
The Tortilla Curtain,T. Coraghessan Boyle,Fiction,1996.0,3.65,355.0,23410.0
The Crucible,Arthur Miller,Drama,1996.0,3.57,484.0,101.0
Rachel's Holiday,Marian Keyes,Fiction,1997.0,3.95,626.0,598.0
Cod,Mark Kurlansky,History,1998.0,3.9,294.0,923.0
Age of Iron,J. M. Coetzee,Fiction,1998.0,3.85,198.0,2842.0
White Teeth,Zadie Smith,Fiction,2001.0,3.76,542.0,3859.0
The Autograph Man,Zadie Smith,Fiction,2003.0,3.15,420.0,501.0
Jemima J.,Jane Green,Fiction,1998.0,3.64,450.0,669.0
The Farming of Bones,Edwidge Danticat,Fiction,1999.0,4.07,312.0,6511.0
Lord of the Flies,William Golding,Fiction,1999.0,3.67,182.0,1861140.0
Waiting for the Barbarians,J. M. Coetzee,Fiction,1980.0,3.93,152.0,17232.0
The Inimitable Jeeves,Pelham Grenville Wodehouse,Fiction,1999.0,4.25,240.0,7430.0
Collected Fictions,Jorge Luis Borges;Andrew Hurley,Fiction,1998.0,4.58,565.0,18072.0
Spellbound,Jane Green,Fiction,2003.0,3.63,439.0,262.0
The Basque History of the World,Mark Kurlansky,History,1999.0,3.84,400.0,3259.0
World's End,T. Coraghessan Boyle,Fiction,1988.0,4.01,480.0,3180.0
Descent of Man,T. Coraghessan Boyle,Fiction,1987.0,3.96,240.0,591.0
Budding Prospects,T. Coraghessan Boyle,Fiction,1990.0,3.85,326.0,1702.0
Little Plum,Rumer Godden,Juvenile Fiction,1987.0,4.22,144.0,10.0
Strange Attractors,William Sleator,Juvenile Fiction,1991.0,3.71,176.0,226.0
